"Idpay Online Payment","پرداخت آنلاین سایت آیدی پی"
"Idpay Payment Gateway","درگاه پرداخت سایت آیدی پی"
"Payment succeeded. Status: %s, Track id: %s, Card no: %s","پرداخت کامل انجام شد. وضعیت: %s, کد رهگیری: %s, شماره کارت: %s"
"The input parameters are invalid.","پارامتر های ووردی اشتباه هستند."
"Error: %s (Code: %s), Track id: %s","خطا: %s (کد: %s), کد رهگیری: %s"
"Error: %s (Code: %s)","خطا: %s (کد: %s)"
"Card Hashed Value: %s","هش شماره کارت: %s"
"Title","عنوان"
"Enabled","فعال باشد"
"Sandbox","حالت تست"
"API KEY","کد API"
"SSL Enabled (for callback URL)","SSL فعال؟ (برای لینک بازگشت)"
"Order Status(before send request)","وضعيت سفارش (قبل از پرداخت)"
"Order Status(after send request)","وضعيت سفارش (بعد از پرداخت)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"Pay for Order %d","پرداخت برای سفارش: %d"
"You will be redirected to Idpay website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به وبسایت سایت آیدی پی ارجاع داده خواهید شد."
"Idpay Transaction ID: %s","کد رهگیری آیدی پی: %s"
"Connecting to Idpay...","در حال اتصال به آیدی پی..."
"Your payment has been successfully processed by our shop system.","پرداخت شما با موفقیت در سیستم ثبت شد."
